<<<<<<< HEAD
		"#NAME?"
NULL,		"#NAME?"
-1,		FALSE
0,		TRUE
9,		FALSE
1.25,		FALSE
1.5,		FALSE
2.25,		TRUE
2.5,		TRUE
"",		"#VALUE!"
"-1",		FALSE
"2",		TRUE
"-1.5",		FALSE
"2.5",		TRUE
"ABC",		"#VALUE!"
"#VALUE!",	"#VALUE!"
"#N/A",		"#VALUE!"
"TRUE",		"#VALUE!"
TRUE,		"#VALUE!"
FALSE,		"#VALUE!"
=======
		"#NAME?"
NULL,		"#NAME?"
-1,		FALSE
0,		TRUE
9,		FALSE
1.25,		FALSE
1.5,		FALSE
2.25,		TRUE
2.5,		TRUE
"",		"#VALUE!"
"-1",		FALSE
"2",		TRUE
"-1.5",		FALSE
"2.5",		TRUE
"ABC",		"#VALUE!"
"#VALUE!",	"#VALUE!"
"#N/A",		"#VALUE!"
"TRUE",		"#VALUE!"
TRUE,		"#VALUE!"
FALSE,		"#VALUE!"
>>>>>>> 705d3246d2b96a483f40bf87e0cc15b93106fad1
