<<<<<<< HEAD
		"#NAME?"
NULL,		"#NAME?"
-1,		TRUE
0,		FALSE
9,		TRUE
1.25,		TRUE
1.5,		TRUE
2.25,		FALSE
2.5,		FALSE
"",		"#VALUE!"
"-1",		TRUE
"2",		FALSE
"-1.5",		TRUE
"2.5",		FALSE
"ABC",		"#VALUE!"
"#VALUE!",	"#VALUE!"
"#N/A",		"#VALUE!"
"TRUE",		"#VALUE!"
TRUE,		"#VALUE!"
FALSE,		"#VALUE!"
=======
		"#NAME?"
NULL,		"#NAME?"
-1,		TRUE
0,		FALSE
9,		TRUE
1.25,		TRUE
1.5,		TRUE
2.25,		FALSE
2.5,		FALSE
"",		"#VALUE!"
"-1",		TRUE
"2",		FALSE
"-1.5",		TRUE
"2.5",		FALSE
"ABC",		"#VALUE!"
"#VALUE!",	"#VALUE!"
"#N/A",		"#VALUE!"
"TRUE",		"#VALUE!"
TRUE,		"#VALUE!"
FALSE,		"#VALUE!"
>>>>>>> 705d3246d2b96a483f40bf87e0cc15b93106fad1
