<<<<<<< HEAD
-1.5,	-1.5,	1
-0.75,	-1.5,	0
0,	-1.5,	0
0.75,	-1.5,	0
1.5,	-1.5,	0
-1.5,	-0.75,	0
-0.75,	-0.75,	1
0,	-0.75,	0
0.75,	-0.75,	0
1.5,	-0.75,	0
-1.5,	0,	0
-0.75,	0,	0
0,	0,	1
0.75,	0,	0
1.5,	0,	0
-1.5,	0.75,	0
-0.75,	0.75,	0
0,	0.75,	0
0.75,	0.75,	1
1.5,	0.75,	0
-1.5,	1.5,	0
-0.75,	1.5,	0
0,	1.5,	0
0.75,	1.5,	0
1.5,	1.5,	1
=======
-1.5,	-1.5,	1
-0.75,	-1.5,	0
0,	-1.5,	0
0.75,	-1.5,	0
1.5,	-1.5,	0
-1.5,	-0.75,	0
-0.75,	-0.75,	1
0,	-0.75,	0
0.75,	-0.75,	0
1.5,	-0.75,	0
-1.5,	0,	0
-0.75,	0,	0
0,	0,	1
0.75,	0,	0
1.5,	0,	0
-1.5,	0.75,	0
-0.75,	0.75,	0
0,	0.75,	0
0.75,	0.75,	1
1.5,	0.75,	0
-1.5,	1.5,	0
-0.75,	1.5,	0
0,	1.5,	0
0.75,	1.5,	0
1.5,	1.5,	1
>>>>>>> 705d3246d2b96a483f40bf87e0cc15b93106fad1
