<<<<<<< HEAD
"01AB",			"653"
"ABCD",			"125715"
"F6",			"366"
"3B4E",			"35516"
"F",		3,	"017"
"12345",		"221505"
"123456789",		"#NUM!"
"123.45",		"#NUM!"
"0",			"0"
"G3579A",		"#NUM!"
TRUE,			"#VALUE!"
"-107",			"#NUM!"
"FFFFFFFF00",		"7777777400"	//	2's Complement
=======
"01AB",			"653"
"ABCD",			"125715"
"F6",			"366"
"3B4E",			"35516"
"F",		3,	"017"
"12345",		"221505"
"123456789",		"#NUM!"
"123.45",		"#NUM!"
"0",			"0"
"G3579A",		"#NUM!"
TRUE,			"#VALUE!"
"-107",			"#NUM!"
"FFFFFFFF00",		"7777777400"	//	2's Complement
>>>>>>> 705d3246d2b96a483f40bf87e0cc15b93106fad1
